Time,Original Temp (F),Synthetic Temp (F)
2024-07-09 05:00:00,74.66,76.09150941271494
2024-07-09 05:05:00,74.57,76.39016358694978
2024-07-09 05:10:00,74.48,75.90868997493759
2024-07-09 05:15:00,74.47333333333333,76.19676361292
2024-07-09 05:20:00,74.46666666666667,75.8822896255167
2024-07-09 05:25:00,74.46,75.78729156894497
2024-07-09 05:30:00,74.56,76.17530273277283
2024-07-09 05:35:00,74.66,75.76836161154189
2024-07-09 05:40:00,74.685,76.2930948937467
2024-07-09 05:45:00,74.71,76.19376481492358
2024-07-09 05:50:00,74.66,76.07186777327762
2024-07-09 05:55:00,74.61,76.11350178726389
2024-07-09 06:00:00,74.72333333333333,76.3010866864892
2024-07-09 06:05:00,74.83666666666667,76.54077591759314
2024-07-09 06:10:00,74.95,76.91090552755279
2024-07-09 06:15:00,74.83,76.3717172792945
2024-07-09 06:20:00,74.71,76.2853676207787
2024-07-09 06:25:00,74.685,76.17010082780655
2024-07-09 06:30:00,74.66,76.1183923540986
2024-07-09 06:35:00,74.74,76.24284179459188
2024-07-09 06:40:00,74.82,76.37375982701526
2024-07-09 06:45:00,74.85,76.44543306689447
2024-07-09 06:50:00,74.88,76.44181706130679
2024-07-09 06:55:00,74.91,76.27483017518198
2024-07-09 07:00:00,75.045,76.41615327276605
2024-07-09 07:05:00,75.18,76.48804713423502
2024-07-09 07:10:00,75.065,76.64373939177258
2024-07-09 07:15:00,74.95,76.67297000172694
2024-07-09 07:20:00,75.005,76.33815694828535
2024-07-09 07:25:00,75.06,76.62621617013103
2024-07-09 07:30:00,75.07666666666667,76.4590374342846
2024-07-09 07:35:00,75.09333333333333,76.52069949908265
2024-07-09 07:40:00,75.11,76.52769255495295
2024-07-09 07:45:00,75.13,76.40661462494653
2024-07-09 07:50:00,75.15,76.62881891301379
2024-07-09 07:55:00,75.165,76.74874561839194
2024-07-09 08:00:00,75.18,76.8779874654452
2024-07-09 08:05:00,75.17,76.82655264099763
2024-07-09 08:10:00,75.16,76.5260572630061
2024-07-09 08:15:00,75.16,76.63995869513705
2024-07-09 08:20:00,75.16,76.86347325899352
2024-07-09 08:25:00,75.16,76.94134920835663
2024-07-09 08:30:00,75.16,76.38442950302527
2024-07-09 08:35:00,75.16,76.9328683845043
2024-07-09 08:40:00,75.16,76.13276105887756
2024-07-09 08:45:00,75.16,77.02122679138525
2024-07-09 08:50:00,75.16,76.54533642536636
2024-07-09 08:55:00,75.16,76.62789955546017
2024-07-09 09:00:00,75.17999999999999,76.77497307424781
2024-07-09 09:05:00,75.2,77.14742345010491
2024-07-09 09:10:00,75.22,77.0633227875049
2024-07-09 09:15:00,75.255,76.90882504056273
2024-07-09 09:20:00,75.29,76.69169472534722
2024-07-09 09:25:00,75.33500000000001,77.1178270860873
2024-07-09 09:30:00,75.38,76.79516800285434
2024-07-09 09:35:00,75.3,76.64387312038052
2024-07-09 09:40:00,75.22,76.82997200139876
2024-07-09 09:45:00,75.2,76.7317574019638
2024-07-09 09:50:00,75.17999999999999,76.71448899649496
2024-07-09 09:55:00,75.16,76.84021599536784
2024-07-09 10:00:00,75.395,76.44944375229248
2024-07-09 10:05:00,75.63,77.1303836472941
2024-07-09 10:10:00,75.615,77.324902711112
2024-07-09 10:15:00,75.6,77.2388445852897
2024-07-09 10:20:00,75.49,77.01496462330844
2024-07-09 10:25:00,75.38,77.07955216092577
2024-07-09 10:30:00,75.42333333333333,76.85780587452516
2024-07-09 10:35:00,75.46666666666667,77.04756063035744
2024-07-09 10:40:00,75.51,77.30104830128079
2024-07-09 10:45:00,75.39,76.9871001326447
2024-07-09 10:50:00,75.27,76.61212117192214
2024-07-09 10:55:00,75.39,76.5963996681471
2024-07-09 11:00:00,75.51,76.78887290896233
